Year,Sex,0to4YearOlds,5to9YearOlds,10to14YearOlds,15to19YearOlds,20to24YearOlds,25to29YearOlds,30to34YearOlds,35to39YearOlds,40to44YearOlds,45to49YearOlds,50to54YearOlds,55to59YearOlds,60to64YearOlds,65to69YearOlds,70to74YearOlds,75to79YearOlds,80to84YearOlds,85YearsAndOlder,TotalPopulation,Midpoint,Bin,Percent,MedianAge,0to4YearOldsCumSum,5to9YearOldsCumSum,10to14YearOldsCumSum,15to19YearOldsCumSum,20to24YearOldsCumSum,25to29YearOldsCumSum,30to34YearOldsCumSum,35to39YearOldsCumSum,40to44YearOldsCumSum,45to49YearOldsCumSum,50to54YearOldsCumSum,55to59YearOldsCumSum,60to64YearOldsCumSum,65to69YearOldsCumSum,70to74YearOldsCumSum,75to79YearOldsCumSum,80to84YearOldsCumSum,85YearsAndOlderCumSum
1986,Female,22819,23735,22474,24585,28781,32144,29404,26919,20517,17967,17080,17979,17812,15651,13246,10466,7247,6134,354960,177480,30to34YearOldsCumSum,0.780234,33.12094,22819,46554,69028,93613,122394,154538,183942,210861,231378,249345,266425,284404,302216,317867,331113,341579,348826,354960
1986,Male,24124,24806,23619,24990,26776,30198,27806,24995,18808,16219,15026,15549,14652,11686,8610,5697,3066,1925,318552,159276,30to34YearOldsCumSum,0.171294,30.68518,24124,48930,72549,97539,124315,154513,182319,207314,226122,242341,257367,272916,287568,299254,307864,313561,316627,318552
1987,Total,46140,48069,45246,48943,52606,61444,58005,52017,42323,34840,31528,32818,32229,28092,21962,16500,10555,8371,671688,335844,30to34YearOldsCumSum,0.575743,32.30297,46140,94209,139455,188398,241004,302448,360453,412470,454793,489633,521161,553979,586208,614300,636262,652762,663317,671688
1987,Female,22417,23487,22052,24248,27244,31733,29885,26984,22028,18281,16786,17615,17709,16089,13235,10682,7415,6389,354279,177140,30to34YearOldsCumSum,0.868613,33.47445,22417,45904,67956,92204,119448,151181,181066,208050,230078,248359,265145,282760,300469,316558,329793,340475,347890,354279
1987,Male,23723,24582,23194,24695,25362,29711,28120,25033,20295,16559,14742,15203,14520,12003,8727,5818,3140,1982,317409,158705,30to34YearOldsCumSum,0.264491,31.05797,23723,48305,71499,96194,121556,151267,179387,204420,224715,241274,256016,271219,285739,297742,306469,312287,315427,317409
1988,Total,45319,47170,44713,47849,49553,60014,58537,52724,43833,35600,31367,31746,32310,28550,22077,16692,10747,8595,667396,333698,30to34YearOldsCumSum,0.667612,32.67045,45319,92489,137202,185051,234604,294618,353155,405879,449712,485312,516679,548425,580735,609285,631362,648054,658801,667396
1988,Female,22014,23023,21793,23673,25639,31047,30229,27354,22767,18646,16722,17064,17759,16328,13216,10808,7518,6560,352160,176080,30to34YearOldsCumSum,0.955738,33.82295,22014,45037,66830,90503,116142,147189,177418,204772,227539,246185,262907,279971,297730,314058,327274,338082,345600,352160
1988,Male,23305,24147,22920,24176,23914,28967,28308,25370,21066,16954,14645,14682,14551,12222,8861,5884,3229,2035,315236,157618,30to34YearOldsCumSum,0.359934,31.43973,23305,47452,70372,94548,118462,147429,175737,201107,222173,239127,253772,268454,283005,295227,304088,309972,313201,315236
1989,Total,45455,46210,44947,46533,47097,58400,58909,53728,46090,35932,31320,31035,32153,29320,22175,16842,11072,8814,666032,333016,30to34YearOldsCumSum,0.753264,33.01305,45455,91665,136612,183145,230242,288642,347551,401279,447369,483301,514621,545656,577809,607129,629304,646146,657218,666032
1989,Female,22077,22527,21914,22996,24342,30261,30516,27875,23893,18798,16725,16704,17666,16747,13167,10898,7741,6740,351587,175794,35to39YearOldsCumSum,0.041632,35.16653,22077,44604,66518,89514,113856,144117,174633,202508,226401,245199,261924,278628,296294,313041,326208,337106,344847,351587
1989,Male,23378,23683,23033,23537,22755,28139,28393,25853,22197,17134,14595,14331,14487,12573,9008,5944,3331,2074,314445,157223,30to34YearOldsCumSum,0.447205,31.78882,23378,47061,70094,93631,116386,144525,172918,198771,220968,238102,252697,267028,281515,294088,303096,309040,312371,314445
1990,Total,45298,44460,44683,45305,45888,56721,59132,55128,48487,36464,31376,30792,32209,29895,22346,16953,11369,9027,665533,332767,30to34YearOldsCumSum,0.852525,33.4101,45298,89758,134441,179746,225634,282355,341487,396615,445102,481566,512942,543734,575943,605838,628184,645137,656506,665533
1990,Female,21989,21658,21796,22372,23632,29403,30661,28580,25084,19060,16776,16600,17675,17051,13170,10964,7946,6930,351347,175674,35to39YearOldsCumSum,0.145644,35.58258,21989,43647,65443,87815,111447,140850,171511,200091,225175,244235,261011,277611,295286,312337,325507,336471,344417,351347
1990,Male,23309,22802,22887,22933,22256,27318,28471,26548,23403,17404,14600,14192,14534,12844,9176,5989,3423,2097,314186,157093,30to34YearOldsCumSum,0.547504,32.19002,23309,46111,68998,91931,114187,141505,169976,196524,219927,237331,251931,266123,280657,293501,302677,308666,312089,314186
1991,Total,45459,43724,45152,44251,46298,54670,58789,55854,50627,36717,31957,30530,32114,29652,22771,17171,11572,9432,666740,333370,30to34YearOldsCumSum,0.915409,33.66164,45459,89183,134335,178586,224884,279554,338343,394197,444824,481541,513498,544028,576142,605794,628565,645736,657308,666740
1991,Female,22077,21312,22014,21774,23891,28404,30566,29001,26222,19219,17098,16448,17586,16856,13360,11070,8096,7253,352247,176124,35to39YearOldsCumSum,0.209838,35.83935,22077,43389,65403,87177,111068,139472,170038,199039,225261,244480,261578,278026,295612,312468,325828,336898,344994,352247
1991,Male,23382,22412,23138,22477,22407,26266,28223,26853,24405,17498,14859,14082,14528,12796,9411,6101,3476,2179,314493,157247,30to34YearOldsCumSum,0.608174,32.4327,23382,45794,68932,91409,113816,140082,168305,195158,219563,237061,251920,266002,280530,293326,302737,308838,312314,314493
1992,Total,45670,43100,45267,44003,46761,52459,58082,56808,50526,39586,32862,30538,31760,29497,23465,17199,11807,9698,669088,334544,30to34YearOldsCumSum,0.986261,33.94504,45670,88770,134037,178040,224801,277260,335342,392150,442676,482262,515124,545662,577422,606919,630384,647583,659390,669088
1992,Female,22175,21011,22044,21630,24052,27310,30186,29479,26180,20710,17592,16435,17380,16727,13724,11073,8249,7479,353436,176718,35to39YearOldsCumSum,0.281896,36.12758,22175,43186,65230,86860,110912,138222,168408,197887,224067,244777,262369,278804,296184,312911,326635,337708,345957,353436
1992,Male,23495,22089,23223,22373,22709,25149,27896,27329,24346,18876,15270,14103,14380,12770,9741,6126,3558,2219,315652,157826,30to34YearOldsCumSum,0.673502,32.69401,23495,45584,68807,91180,113889,139038,166934,194263,218609,237485,252755,266858,281238,294008,303749,309875,313433,315652
1993,Total,45495,42483,44988,44101,46531,50397,57193,57736,51081,41038,34034,30997,31171,29706,23874,17138,12048,9951,669962,334981,35to39YearOldsCumSum,0.065696,35.26278,45495,87978,132966,177067,223598,273995,331188,388924,440005,481043,515077,546074,577245,606951,630825,647963,660011,669962
1993,Female,22077,20711,21895,21693,24007,26288,29749,29950,26490,21468,18227,16673,17029,16807,13946,10976,8425,7672,354083,177042,35to39YearOldsCumSum,0.354641,36.41856,22077,42788,64683,86376,110383,136671,166420,196370,222860,244328,262555,279228,296257,313064,327010,337986,346411,354083
1993,Male,23418,21772,23093,22408,22524,24109,27444,27786,24591,19570,15807,14324,14142,12899,9928,6162,3623,2279,315879,157940,30to34YearOldsCumSum,0.751184,33.00474,23418,45190,68283,90691,113215,137324,164768,192554,217145,236715,252522,266846,280988,293887,303815,309977,313600,315879
1994,Total,45259,42537,44308,44611,46078,48674,56169,58003,51870,42828,34565,31520,30738,29564,24119,17306,12121,10172,670442,335221,35to39YearOldsCumSum,0.130769,35.52308,45259,87796,132104,176715,222793,271467,327636,385639,437509,480337,514902,546422,577160,606724,630843,648149,660270,670442
1994,Female,21964,20703,21557,21907,23715,25416,29208,30072,26906,22379,18509,16986,16760,16704,14073,11024,8467,7845,354195,177098,35to39YearOldsCumSum,0.419909,36.67964,21964,42667,64224,86131,109846,135262,164470,194542,221448,243827,262336,279322,296082,312786,326859,337883,346350,354195
1994,Male,23295,21834,22751,22704,22363,23258,26961,27931,24964,20449,16056,14534,13978,12860,10046,6282,3654,2327,316247,158124,30to34YearOldsCumSum,0.812971,33.25188,23295,45129,67880,90584,112947,136205,163166,191097,216061,236510,252566,267100,281078,293938,303984,310266,313920,316247
1995,Total,44633,42467,43369,45229,45168,47979,54905,58252,52801,44616,35289,31832,30686,29577,24318,17383,12323,10430,671257,335629,35to39YearOldsCumSum,0.203916,35.81566,44633,87100,130469,175698,220866,268845,323750,382002,434803,479419,514708,546540,577226,606803,631121,648504,660827,671257
1995,Female,21688,20675,21109,22197,23206,25031,28578,30179,27392,23316,18907,17172,16728,16670,14144,11037,8614,8051,354694,177347,35to39YearOldsCumSum,0.492495,36.96998,21688,42363,63472,85669,108875,133906,162484,192663,220055,243371,262278,279450,296178,312848,326992,338029,346643,354694
1995,Male,22945,21792,22260,23032,21962,22948,26327,28073,25409,21300,16382,14660,13958,12907,10174,6346,3709,2379,316563,158282,30to34YearOldsCumSum,0.886637,33.54655,22945,44737,66997,90029,111991,134939,161266,189339,214748,236048,252430,267090,281048,293955,304129,310475,314184,316563
